iter	RMSE
948	26485.50141
949	26481.28512
950	26480.54736
951	26478.90438
952	26478.088
953	26473.19348
954	26458.2501
955	26456.25479
956	26455.38692
957	26451.96111
958	26450.31318
959	26446.22203
960	26440.70202
961	26435.62566
962	26419.76179
963	26419.00504
964	26413.88937
965	26408.29909
966	26404.61419
967	26401.13968
968	26399.68158
969	26395.51964
970	26394.39936
971	26393.32629
972	26378.17625
973	26374.87626
974	26368.04422
975	26365.27029
976	26362.95286
977	26362.09695
978	26358.80363
979	26352.31927
980	26351.55076
981	26332.89084
982	26331.31764
983	26330.51537
984	26328.559
985	26327.65116
986	26326.03974
987	26324.37245
988	26320.4253
989	26319.63041
990	26318.8485
991	26317.83848
992	26313.03176
993	26308.90475
994	26305.02274
995	26301.99393
996	26294.075
997	26292.23575
998	26291.33448
999	26290.43554
